Ciudad,Barrio,Sector,Latitud media,Longitud media
Barranquilla,Abajo,Metropolitana,10.990512847900401,-74.78488922119146
Barranquilla,Abajo,No Especificado,10.99125595092774,-74.78782348632812
Barranquilla,Abajo,Norte Centro Histórico,10.991184870402034,-74.7852003309462
Barranquilla,Abajo,Sur Occidente,10.9870004653931,-74.7839965820313
Barranquilla,Abajo,Sur Oriente,10.9899997711182,-74.7839965820313
Barranquilla,Adelita De Char,Norte Centro Histórico,10.9829998016357,-74.8300018310547
Barranquilla,Alameda,Norte Centro Histórico,11.00125455856325,-74.84140396118164
Barranquilla,Alameda,Riomar,10.99394083023075,-74.8440170288086
Barranquilla,Alameda Campestre,Riomar,11.0190401077271,-74.8231506347656
Barranquilla,Alameda Del Rio,Metropolitana,10.984438078744041,-74.83463832310267
Barranquilla,Alameda Del Rio,No Especificado,10.992212745878433,-74.84020734514509
Barranquilla,Alameda Del Rio,Norte Centro Histórico,10.98678388903216,-74.83587877678148
Barranquilla,Alameda Del Rio,Riomar,10.993507525500114,-74.83187417423024
Barranquilla,Alameda Del Rio,Sur Occidente,10.9865350723267,-74.8369674682617
Barranquilla,Alameda Del Rio Conjunto Tucán,Norte Centro Histórico,10.9989004135132,-74.8427963256836
Barranquilla,Alfonso López,No Especificado,10.966395854949951,-74.79320271809898
Barranquilla,Alfonso López,Norte Centro Histórico,10.9650001525879,-74.7919998168945
Barranquilla,Alfonso López Suroriente,Sur Occidente,10.96649980545045,-74.7929992675781
Barranquilla,Alfonzo Lopez,No Especificado,10.969160556793199,-74.7925453186035
Barranquilla,Alfonzo Lopez,Sur Occidente,10.9670000076294,-74.7949981689453
Barranquilla,Alfonzo Lopez,Sur Oriente,10.967372417449951,-74.79162216186526
Barranquilla,Alpes,Norte Centro Histórico,10.99744963645935,-74.82362365722655
Barranquilla,Alpes,Riomar,10.9987201690674,-74.8252716064453
Barranquilla,Alta Prado,Riomar,11.007080078125,-74.8134613037109
Barranquilla,Altamira,Metropolitana,11.0080003738403,-74.82749938964845
Barranquilla,Altamira,No Especificado,11.006053447723385,-74.82288761138916
Barranquilla,Altamira,Norte Centro Histórico,11.006229245984867,-74.82244531731857
Barranquilla,Altamira,Riomar,11.006047082983917,-74.82382233937581
Barranquilla,Alto Padro,No Especificado,11.0017890930176,-74.8058547973633
Barranquilla,Alto Pardo,Norte Centro Histórico,11.0019998550415,-74.8119964599609
Barranquilla,Alto Prado,Metropolitana,11.004365906348587,-74.81106440226239
Barranquilla,Alto Prado,No Especificado,11.005835847651705,-74.81149321647078
Barranquilla,Alto Prado,Norte Centro Histórico,11.004327649373948,-74.81104260306074
Barranquilla,Alto Prado,Riomar,11.005489134452702,-74.81221201722053
Barranquilla,Alto Prado,Sur Occidente,11.0010004043579,-74.8079986572266
Barranquilla,Alto Prado,Sur Oriente,11.0059995651245,-74.8190002441406
Barranquilla,Alto Prado Apartamento Por Piso Piso 10,No Especificado,11.002537727356,-74.8118667602539
Barranquilla,Alto Prado Riomar,No Especificado,11.0081100463867,-74.8135070800781
Barranquilla,Altos De Buenavista,No Especificado,11.017634391784672,-74.82732936314176
Barranquilla,Altos De Buenavista,Riomar,11.012207508087151,-74.8177375793457
Barranquilla,Altos De Limon,Metropolitana,11.009454467079863,-74.82012303670248
Barranquilla,Altos De Limon,No Especificado,11.011944929758704,-74.82218233744304
Barranquilla,Altos De Limon,Norte Centro Histórico,11.01362930025373,-74.82162180813877
Barranquilla,Altos De Limon,Riomar,11.01444527837966,-74.82131938191205
Barranquilla,Altos De Los Robles,Sur Oriente,11.0100002288818,-74.8000030517578
Barranquilla,Altos De Miramar,Norte Centro Histórico,11.0166597366333,-74.8231811523438
Barranquilla,Altos De Riomar,Metropolitana,11.014399194717384,-74.82078895568847
Barranquilla,Altos De Riomar,No Especificado,11.013687139192317,-74.81930621509821
Barranquilla,Altos De Riomar,Norte Centro Histórico,11.014219041854616,-74.82026228793832
Barranquilla,Altos De Riomar,Riomar,11.014762826059378,-74.82034167647362
Barranquilla,Altos De San Isidro,No Especificado,10.970308303833,-74.7917098999023
Barranquilla,Altos De San Isidro,Sur Oriente,10.9703054428101,-74.7918319702148
Barranquilla,Altos De San Vicente,Metropolitana,11.0058698654175,-74.8218994140625
Barranquilla,Altos De San Vicente,No Especificado,11.0043773651123,-74.8214645385742
Barranquilla,Altos De San Vicente,Norte Centro Histórico,11.0050001144409,-74.81949996948241
Barranquilla,Altos De San Vicente,Riomar,11.0019998550415,-74.8150024414063
Barranquilla,Altos Del Limonar,No Especificado,11.012897173563633,-74.82618713378905
Barranquilla,Altos Del Limonar,Norte Centro Histórico,11.0150003433228,-74.8199996948242
Barranquilla,Altos Del Limonar,Riomar,11.012598419189441,-74.82670745849607
Barranquilla,Altos Del Limoncito,Riomar,11.0156145095825,-74.8247909545898
Barranquilla,Altos Del Parque,No Especificado,11.016596130702814,-74.82674739671789
Barranquilla,Altos Del Parque,Norte Centro Histórico,10.9829998016357,-74.8300018310547
Barranquilla,Altos Del Parque,Riomar,11.008163928985583,-74.82861073811848
Barranquilla,Altos Del Poblado,No Especificado,11.006329536438,-74.8284072875977
Barranquilla,Altos Del Prado,Metropolitana,10.9849004745483,-74.8346481323242
Barranquilla,Altos Del Prado,No Especificado,11.00556316829863,-74.81229400634767
Barranquilla,Altos Del Prado,Norte Centro Histórico,11.004280726114906,-74.81216278076172
Barranquilla,Altos Del Prado,Riomar,11.00332403182982,-74.8135964529855
Barranquilla,Altos Rio Mar,Riomar,11.0152978897095,-74.8186492919922
Barranquilla,America,No Especificado,10.9904254277547,-74.80995686848959
Barranquilla,America,Norte Centro Histórico,10.996250152587901,-74.80524826049805
Barranquilla,Andalucia,Metropolitana,11.015666643778466,-74.81366602579752
Barranquilla,Andalucia,No Especificado,11.014449442847305,-74.81331723531086
Barranquilla,Andalucia,Norte Centro Histórico,11.015808647329157,-74.81318768587981
Barranquilla,Andalucia,Riomar,11.014723961813415,-74.81367242747339
Barranquilla,Andalucia Cerca Al Parque De La Electrificadora,No Especificado,11.015887260437,-74.8135833740234
Barranquilla,Andes,Metropolitana,10.9906692504883,-74.8011093139648
Barranquilla,Andes,Norte Centro Histórico,10.973758697509776,-74.80292510986328
Barranquilla,Andes,Sur Occidente,10.9717807769775,-74.8038482666016
Barranquilla,Atlantico,No Especificado,10.9885431925456,-74.80087738037109
Barranquilla,Balcones De San Jose Ciudad Jardin,No Especificado,10.9920177459717,-74.8104553222656
Barranquilla,Barranquillita,No Especificado,11.002761840820323,-74.80855751037598
Barranquilla,Barriio La Pradera,No Especificado,11.0041227340698,-74.8069839477539
Barranquilla,Barrió Boston,No Especificado,10.9875297546387,-74.7890930175781
Barranquilla,Bella Vista,Metropolitana,10.9993356704712,-74.7929977416992
Barranquilla,Bella Vista,No Especificado,10.999077665394742,-74.79516259555159
Barranquilla,Bella Vista,Norte Centro Histórico,11.0002088703093,-74.79416014656186
Barranquilla,Bella Vista,Riomar,10.999506541660844,-74.79280090332031
Barranquilla,Bellavista El Prado,Norte Centro Histórico,11.0048799514771,-74.7979583740234
Barranquilla,Betania,Metropolitana,10.98913211822512,-74.81385040283199
Barranquilla,Betania,No Especificado,10.98965219172036,-74.80982934860955
Barranquilla,Betania,Norte Centro Histórico,10.989833367176557,-74.81357158314097
Barranquilla,Betania,Riomar,10.991521835327156,-74.81773445822976
Barranquilla,Betania,Sur Oriente,10.9870004653931,-74.8119964599609
Barranquilla,Betania Norte,Norte Centro Histórico,10.9840297698975,-74.806282043457
Barranquilla,Biston,No Especificado,10.9844331741333,-74.7959594726563
Barranquilla,Boston,Metropolitana,10.990139908260788,-74.79819046823602
Barranquilla,Boston,No Especificado,10.989934599244753,-74.79786621896844
Barranquilla,Boston,Norte Centro Histórico,10.99007875905874,-74.79731400985291
Barranquilla,Boston,Riomar,10.9870004653931,-74.8010025024414
Barranquilla,Boston,Sur Occidente,10.989136695861843,-74.79549407958983
Barranquilla,Boston,Sur Oriente,10.986762523651151,-74.7979965209961
Barranquilla,Buena Esperanza,No Especificado,10.966294833592,-74.80477033342632
Barranquilla,Buena Esperanza,Riomar,10.9619998931885,-74.8079986572266
Barranquilla,Buena Esperanza,Sur Occidente,10.9675123691559,-74.80887031555179
Barranquilla,Buena Vista,Metropolitana,11.01565570831299,-74.82748107910157
Barranquilla,Buena Vista,No Especificado,11.014965550652878,-74.82595088564116
Barranquilla,Buena Vista,Norte Centro Histórico,11.016241550445567,-74.8229832649231
Barranquilla,Buena Vista,Riomar,11.012766206965734,-74.82485807114755
Barranquilla,Buenavista Altos Del Limón,Riomar,11.0206499099731,-74.8276214599609
Barranquilla,Buenavista Celularwhasspp,No Especificado,11.0151147842407,-74.8277435302734
Barranquilla,Buenavista Edeficio Bali,No Especificado,11.0150947570801,-74.8277435302734
Barranquilla,Buenavista Edificio Brzzo,No Especificado,11.0177059173584,-74.8248138427734
Barranquilla,Buenavista Teléfonowhatsapp,No Especificado,11.0201921463013,-74.8242874145508
Barranquilla,Buevista,Norte Centro Histórico,11.0161666870117,-74.8239135742188
Barranquilla,Calle 79 Nro,No Especificado,10.9919147491455,-74.8145980834961
