feature,coefficient,abs_coefficient
Tipo de Apartamento_No Especificado,-0.0,0.0
admon,1056.268980084938,1056.268980084938
area_const,802577.7507860324,802577.7507860324
rooms,1368858.0386643913,1368858.0386643913
Antiguedad_9 a 15 años,-1783058.3014203222,1783058.3014203222
Estado_5.0,-2870589.8888819003,2870589.8888819003
lat,-4031866.643518251,4031866.643518251
Estado_No Especificado,5150646.308392357,5150646.308392357
Estado_4.0,-5512703.873255281,5512703.873255281
category_Casa,5929943.3225248745,5929943.3225248745
Estrato,-6521015.559816485,6521015.559816485
Tipo de Apartamento_Duplex - Loft - PentHouse,-8261900.561636561,8261900.561636561
Tipo de Apartamento_No Aplica,9579005.779410776,9579005.779410776
Antiguedad_No Especificado,11640341.443682665,11640341.443682665
Tipo de Apartamento_Duplex - Loft,-12836265.257139662,12836265.257139662
Antiguedad_Más de 30 años,-14261330.603359206,14261330.603359206
Tipo de Apartamento_Duplex,-18972584.41072623,18972584.41072623
Tipo de Apartamento_Loft,-19324975.80544175,19324975.80544175
category_Apartamento,-23716549.120051883,23716549.120051883
Antiguedad_1 a 8 años,26655755.4070179,26655755.4070179
category_Apartaestudio,-27740620.93104203,27740620.93104203
Estado_3.0,-27940580.543447383,27940580.543447383
Antiguedad_16 a 30 años,-29481842.737488594,29481842.737488594
park,30906084.187181603,30906084.187181603
baths,40631473.77570417,40631473.77570417
long,46781395.6811004,46781395.6811004
Tipo de Apartamento_PentHouse,53629679.77493651,53629679.77493651
Antiguedad_Menos de 1 año,54573822.43983575,54573822.43983575
Tipo de Apartamento_Duplex - PentHouse,103203999.04337962,103203999.04337962
Tipo de Apartamento_Loft - PentHouse,109536847.02383989,109536847.02383989
