feature,coefficient,abs_coefficient
remainder__admon,1056.3129368680002,1056.3129368680002
remainder__area_const,802627.246073664,802627.246073664
cat__category_Apartamento,-1107686.110777396,1107686.110777396
remainder__rooms,1373165.2137383707,1373165.2137383707
cat__Estado_4.0,2247179.866107161,2247179.866107161
cat__Antiguedad_No Especificado,3759837.871642252,3759837.871642252
remainder__lat,-4031177.036626063,4031177.036626063
cat__Estado_5.0,4897131.314402184,4897131.314402184
cat__category_Apartaestudio,-5099811.938389224,5099811.938389224
cat__Tipo de Apartamento_No Aplica,6207498.051083949,6207498.051083949
cat__category_Casa,6207498.051095968,6207498.051095968
remainder__Estrato,-6528068.287023523,6528068.287023523
cat__Antiguedad_9 a 15 años,-9656915.27410465,9656915.27410465
cat__Estado_No Especificado,12911032.384297188,12911032.384297188
cat__Antiguedad_1 a 8 años,18774924.034563966,18774924.034563966
cat__Estado_3.0,-20055343.564947516,20055343.564947516
cat__Antiguedad_Más de 30 años,-22122662.30186911,22122662.30186911
cat__Tipo de Apartamento_No Especificado,-25682155.458940424,25682155.458940424
cat__Tipo de Apartamento_Duplex - Loft - PentHouse,-26850118.075630978,26850118.075630978
cat__Tipo de Apartamento_PentHouse,27605727.794967588,27605727.794967588
remainder__park,30908848.677002914,30908848.677002914
cat__Tipo de Apartamento_Duplex - Loft,-32305614.152835462,32305614.152835462
cat__Antiguedad_16 a 30 años,-37342637.78357821,37342637.78357821
remainder__baths,40629161.95627051,40629161.95627051
cat__Tipo de Apartamento_Duplex,-44513424.74486909,44513424.74486909
cat__Tipo de Apartamento_Loft,-44907673.880915105,44907673.880915105
cat__Antiguedad_Menos de 1 año,46587453.45182554,46587453.45182554
remainder__long,46772998.81452914,46772998.81452914
cat__Tipo de Apartamento_Loft - PentHouse,64179814.754225366,64179814.754225366
cat__Tipo de Apartamento_Duplex - PentHouse,76265945.71321933,76265945.71321933
